time,x,y,z,v_x,v_y,v_z,phi,theta,psi,omega_x,omega_y,omega_z,w,zeta,m,I_x,I_y,I_z,C,u_thrust,u_phi,u_theta,u_psi,u_w,u_zeta,g,beta,r,r_x,r_y,a,gamma,v_x_dot,v_y_dot,q,alpha,u_x,u_y
0.0,-0.2844304514441042,-0.04072481655154745,2.0,2.8733115457926606,0.0,0.0,0.0,0.0,2.724636525013869,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873311545792661,0.0,0.0,-0.2844304514441042,-0.04072481655154745,0.0,0.0,5.112568681384491,0.0,0.0,0.0,2.374614611580555,3.9163255031302153
0.1,-0.5938903003987228,0.09634317887694835,2.0,3.3845684139311096,0.0,0.0,0.0,0.0,1.8046548933621214,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3845684139311096,0.0,0.0,-0.5938903003987228,0.09634317887694835,0.0,0.0,3.8016284784075904,-15.340395375654872,0.0,0.0,2.374614611580555,3.9163255031302153
0.2,-0.42278398292908986,0.5400625905109531,2.0,3.6336372414741787,-3.0680790751309743,0.0,0.0,0.0,1.0279857326482915,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755673329181117,0.0,0.0,-0.42278398292908986,0.5400625905109531,0.0,0.0,-11.64844735918288,-31.027545534282506,0.0,0.0,2.374614611580555,3.9163255031302153
0.30000000000000004,0.17995137207028006,0.35862053251083514,2.0,1.0548789420945335,-6.205509106856502,0.0,0.0,0.0,0.7664006875780105,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.294530392154244,0.0,0.0,0.17995137207028006,0.35862053251083514,0.0,0.0,-36.516995199672685,-15.774041642809138,0.0,0.0,2.374614611580555,3.9163255031302153
0.4,0.6095684416003484,-0.22219266166881835,2.0,-3.6697617984603585,-6.222887403692802,0.0,0.0,0.0,1.448060370436278,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.224367051616186,0.0,0.0,0.6095684416003484,-0.22219266166881835,0.0,0.0,30.104742481897773,31.027545534282517,0.0,0.0,2.374614611580555,3.9163255031302153
0.5,1.2689625615340556,-0.47884950258189396,2.0,7.0758274384740885,1.7763568394002505e-15,0.0,0.0,0.0,0.3472781673152503,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.075827438474089,0.0,0.0,1.2689625615340556,-0.47884950258189396,0.0,0.0,47.968260230572696,31.11443701846401,0.0,0.0,2.374614611580555,3.9163255031302153
0.6000000000000001,1.4546540033437518,0.08368355875864586,2.0,5.923890247654182,0.0,0.0,0.0,0.0,1.875957979576067,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.923890247654182,0.0,0.0,1.4546540033437518,0.08368355875864586,0.0,0.0,-24.590278085926272,-18.885648234212063,0.0,0.0,2.374614611580555,3.9163255031302153
0.7000000000000001,1.0453578362260991,0.23100471678029152,2.0,2.157771821288834,-3.7771296468424107,0.0,0.0,0.0,-2.1255365126864856,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3500215633723025,0.0,0.0,1.0453578362260991,0.23100471678029152,0.0,0.0,-37.615404229390116,-13.561611517194967,0.0,0.0,2.374614611580555,3.9163255031302153
0.8,0.7552274125398544,0.10867170519534977,2.0,-1.5991905982238421,-2.7123223034389934,0.0,0.0,0.0,-0.6193855558583343,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.148666836484949,0.0,0.0,0.7552274125398544,0.10867170519534977,0.0,0.0,-21.235839617402025,8.642009358471054,0.0,0.0,2.374614611580555,3.9163255031302153
0.9,0.49045184720270346,-0.015917683139140187,2.0,-2.089396102191571,-2.0487277751482,0.0,0.0,0.0,-0.5295759939838334,0.0,0.0,0.0,4.58,1.0257300013970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.926236758793967,0.0,0.0,0.49045184720270346,-0.015917683139140187,0.0,0.0,7.84860754486735,32.53607887987231,0.0,0.0,2.374614611580555,3.9163255031302153
