time,x,y,z,v_x,v_y,v_z,phi,theta,psi,omega_x,omega_y,omega_z,w,zeta,m,I_x,I_y,I_z,C,u_thrust,u_phi,u_theta,u_psi,u_w,u_zeta,g,beta,r,r_x,r_y,a,gamma,v_x_dot,v_y_dot,q,alpha,u_x,u_y
0.0,0.34362760245645974,0.47837335923943886,2.0,-3.818162025285374,-4.484834305598,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.34362760245645974,0.47837335923943886,0.0,0.0,65.06465043921061,-7.558838589281409,0.0,0.0,4.74548024839204,-0.5734258558183647
0.1,-0.2373950872519629,0.381762624618538,2.0,2.6883030186356867,-5.2407181645261405,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,-0.2373950872519629,0.381762624618538,0.0,0.0,26.437623265053197,50.94305714272093,0.0,0.0,4.74548024839204,-0.5734258558183647
0.2,0.24254741861391532,0.0403300674960787,2.0,1.4693626277252658,5.703777122946187,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.24254741861391532,0.0403300674960787,0.0,0.0,-40.030697902886146,10.517276419535234,0.0,0.0,4.74548024839204,-0.5734258558183647
0.30000000000000004,0.13848460296139864,0.6489259689075135,2.0,-5.317836561941543,-3.1372628806190934,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.174285714285714,0.0,0.0,0.13848460296139864,0.6489259689075135,0.0,0.0,23.92246362158497,-36.58492264305462,0.0,0.0,4.74548024839204,-0.5734258558183647
0.4,-0.23349220922176173,0.12094424557076233,2.0,6.25385535204226,-1.613207405664736,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.458571428571428,0.0,0.0,-0.23349220922176173,0.12094424557076233,0.0,0.0,9.455685494280205,44.72243554498919,0.0,0.0,4.74548024839204,-0.5734258558183647
0.5,0.4306198735652228,0.23763343095710987,2.0,-3.4266994630855017,5.807224228378746,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.742857142857143,0.0,0.0,0.4306198735652228,0.23763343095710987,0.0,0.0,-40.02991694848373,-25.959976576842774,0.0,0.0,4.74548024839204,-0.5734258558183647
0.6000000000000001,-0.14569001174406526,0.6397208386705747,2.0,-1.7521280376544865,-6.805202721033291,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.027142857142857,0.0,0.0,-0.14569001174406526,0.6397208386705747,0.0,0.0,-1.2063217631216427,-60.66009511803461,0.0,0.0,4.74548024839204,-0.5734258558183647
0.7000000000000001,-0.015863837384419044,-0.07980333882602564,2.0,-3.66796381570983,-6.3247947952281764,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.311428571428571,0.0,0.0,-0.015863837384419044,-0.07980333882602564,0.0,0.0,-28.359894279204457,42.05333000630338,0.0,0.0,4.74548024839204,-0.5734258558183647
0.8,-0.48407176959664117,0.5183020760596748,2.0,-7.424106893495378,1.605463280227386,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.595714285714285,0.0,0.0,-0.48407176959664117,0.5183020760596748,0.0,0.0,-18.769508585144543,18.385477069444207,0.0,0.0,4.74548024839204,-0.5734258558183647
0.9,-0.9611041323231586,1.1455054919556313,2.0,-7.421865532738739,-2.647699381339335,0.0,0.0,0.0,-0.7007496946757215,0.0,0.0,0.0,4.78,6.162932121717177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88,0.0,0.0,-0.9611041323231586,1.1455054919556313,0.0,0.0,31.979689507272962,-47.090492322906854,0.0,0.0,4.74548024839204,-0.5734258558183647
